Company Name,Sector classification,Listed/Unlisted,Environment Score,Social Score,Governance Score,ESG Score,Category
360 One Wam Limited,Financial Services,Listed,48,50,69,57,Adequate
3M India Limited,Industrial and capital goods,Listed,41,46,69,54,Adequate
Aadhar Housing Finance Limited,Lending,Unlisted,62,53,64,61,Strong
Aarti Industries Limited,Chemical,Listed,42,60,59,53,Adequate
AAVAS Financiers Limited,Lending,Listed,62,59,72,66,Strong
ABB India Limited,Industrial and capital goods,Listed,58,56,70,62,Strong
Abbott India Limited,Pharmaceuticals,Listed,60,62,70,65,Strong
ACC Limited,Cement,Listed,53,52,69,59,Adequate
Action Construction Equipment Limited,Industrial and capital goods,Listed,36,38,74,52,Adequate
Adani Enterprises Limited,Logistics,Listed,33,52,50,44,Below Average
Adani Green Energy Limited,Power Renewable,Listed,74,57,64,66,Strong
Adani Ports and Special Economic Zone Limited,Ports,Listed,33,57,57,48,Adequate
Adani Power Limited,Power Thermal,Listed,47,51,62,54,Adequate
Adani Total Gas Limited,Oil and Gas - Gas,Listed,45,51,70,57,Adequate
Adani Transmission Limited,Power T&amp;D,Listed,61,57,65,62,Strong
Aditya Birla Capital Limited,Holding,Listed,69,56,69,66,Strong
Aditya Birla Fashion and Retail Limited,Consumer Products,Listed,57,56,68,61,Strong
Aditya Birla Finance Limited,Lending,Unlisted,62,59,63,62,Strong
Aditya Birla Housing Finance Limited,Lending,Unlisted,62,56,69,63,Strong
Aditya Birla Sun Life AMC Limited,Financial Services,Listed,48,48,68,56,Adequate
Advanced Enzyme Technologies Limited,Pharmaceuticals,Listed,32,54,70,53,Adequate
Affle (India) Limited,IT,Listed,43,52,73,57,Adequate
Ahluwalia Contracts India Limited,Construction EPC,Listed,29,45,56,44,Below Average
AIA Engineering Limited,Heavy Engineering,Listed,52,46,76,60,Adequate
Ajanta Pharma Limited,Pharmaceuticals,Listed,33,58,72,55,Adequate
Akzo Nobel India Limited,Paints,Listed,37,52,66,52,Adequate
Alembic Limited,Real Estate,Listed,34,32,63,45,Below Average
Alembic Pharmaceuticals Limited,Pharmaceuticals,Listed,36,56,71,55,Adequate
Alkem Laboratories Limited,Pharmaceuticals,Listed,46,54,74,59,Adequate
Amara Raja Batteries Limited,Batteries,Listed,32,45,70,50,Adequate
Amber Enterprises India Limited,Consumer Durable,Listed,46,40,71,55,Adequate
Ambuja Cements Limited,Cement,Listed,50,58,69,60,Adequate
Angel One Limited,Financial Services,Listed,43,49,74,57,Adequate
Apar Industries Limited,Industrial and capital goods,Listed,56,48,68,59,Adequate
APL Apollo Tubes Limited,Metal,Listed,40,43,72,54,Adequate
Apollo Tyres Limited,Tyre,Listed,43,50,66,54,Adequate
Arvind Fashions Limited,Consumer Products,Listed,39,47,62,50,Adequate
Arvind Limited,Textiles,Listed,51,51,64,56,Adequate
Ashok Leyland Limited,Auto OEM,Listed,51,49,74,60,Adequate
Ashoka Buildcon Limited,Road Infrastructure,Listed,21,42,58,41,Below Average
Asian Paints Limited,Paints,Listed,61,59,80,68,Strong
Aster DM Healthcare Limited,Healthcare,Listed,64,56,69,64,Strong
Astral Limited,Building material,Listed,57,49,72,61,Strong
Astrazeneca Pharma India Limited.,Pharmaceuticals,Listed,39,60,77,59,Adequate
Atul Limited,Chemical,Listed,24,45,57,43,Below Average
AU Small Finance Bank Limited,Lending,Listed,60,60,77,67,Strong
Aurobindo Pharma Limited,Pharmaceuticals,Listed,54,60,69,61,Strong
Avenue Supermarts Limited,Multi Brand retail,Listed,38,39,69,50,Adequate
Axis Bank Limited,Lending,Listed,68,63,79,71,Leadership
Axis Finance Limited,Lending,Unlisted,59,48,57,55,Adequate
Bahadur Chand Investments Private Limited,Holding,Unlisted,60,57,34,49,Adequate
Bajaj Auto Limited,Auto OEM,Listed,40,47,70,54,Adequate
Bajaj Consumer Care Limited,FMCG,Listed,40,51,71,55,Adequate
Bajaj Electricals Limited,Consumer electricals,Listed,38,42,61,48,Adequate
Bajaj Finance Limited,Lending,Listed,63,64,71,67,Strong
Bajaj Finserv Limited,Holding,Listed,60,61,69,64,Strong
Bajaj Holdings and Investment Limited,Holding,Listed,43,48,69,55,Adequate
Bajaj Housing Finance Limited,Lending,Unlisted,64,55,64,62,Strong
Balkrishna Industries Limited,Tyre,Listed,32,46,72,51,Adequate
Balrampur Chini Mills Limited,Sugar,Listed,43,47,76,57,Adequate
Bandhan Bank Limited,Lending,Listed,64,64,75,68,Strong
Bank of Baroda,Lending,Listed,54,64,66,61,Strong
Bank of India,Lending,Listed,60,67,65,64,Strong
Bank of Maharashtra,Lending,Listed,59,60,60,60,Adequate
BASF India Limited,Chemical,Listed,27,43,68,48,Adequate
Bata India Limited,Consumer Products,Listed,36,50,69,53,Adequate
Bayer Cropscience Limited,Chemical,Listed,33,44,70,51,Adequate
BEML Limited,Industrial and capital goods,Listed,37,51,67,53,Adequate
Berger Paints India Limited,Paints,Listed,39,47,73,55,Adequate
Bharat Dynamics Limited,Industrial and capital goods,Listed,39,56,57,51,Adequate
Bharat Electronics Limited,Industrial and capital goods,Listed,46,54,69,57,Adequate
Bharat Forge Limited,Auto Ancillary,Listed,55,54,55,55,Adequate
Bharat Heavy Electricals Limited,Heavy Engineering,Listed,55,52,67,59,Adequate
Bharat Oman Refineries Limited,Oil and Gas - OMC,Unlisted,26,41,56,42,Below Average
Bharat Petroleum Corporation Limited,Oil and Gas - OMC,Listed,46,59,68,58,Adequate
Bharat Sanchar Nigam Limited,Telecom,Unlisted,38,44,58,48,Adequate
Bharti Airtel Limited,Telecom,Listed,60,52,73,63,Strong
Bharti Telecom Limited,Holding,Unlisted,60,52,52,55,Adequate
Bhopal Dhule Transmission Company Limited,Power T&amp;D,Unlisted,36,33,50,41,Below Average
